"","treatment","dose_uM","timeID","mean_time","mean_count","sd_count","mean_count_norm","sd_count_norm","mean_PI","sd_PI","mean_AnV","sd_AnV"
"68","DEM",10,26,42.0235294117647,1241.14069677975,214.23497118837,1.42701638726001,0.163741957671755,0.00155431884337116,0.00264678907892241,0.0454796790222407,0.0395952530256911
"69","DEM",10,27,43.6558823529412,1243.11537414729,218.169610806233,1.42787140421651,0.155295717490951,0.00135227579915552,0.00280330438100758,0.0478481005329373,0.0351236643162662
"70","DEM",10,28,45.2882352941176,1252.99581014534,217.689578529006,1.44008229338647,0.158695135657761,0.00149609661277061,0.00269767223943581,0.0503151640580241,0.0418825126716241
"71","DEM",10,29,46.9205882352941,1249.13081642498,214.005951335984,1.43564746495178,0.157415683927924,0.00175730350036044,0.00392252896579127,0.0481832461785033,0.040434990325735
"72","DEM",10,30,48.069696969697,1259.58007511485,210.074153122393,1.44805329869637,0.159894910314033,0.00220881601932613,0.00408796480307206,0.0470301299199569,0.0402743332244901
"73","DEM",10,31,49.190625,1267.5101741394,195.474544703741,1.43663306942906,0.169400047617587,0.00165461620285194,0.0036750841635615,0.0473779230432967,0.041076722939494
"74","DEM",10,32,50.8,1268.49729647247,196.983721066669,1.43809198687115,0.175330882744848,0.00170124625408723,0.00377250738811314,0.0501818637274133,0.0414147690843461
"75","DEM",10,33,50.6178571428571,1267.48228714375,198.157697893223,1.45393887119335,0.170495124722752,0.00124415438120928,0.0016203126552703,0.0476032755742807,0.0490675302160396
"76","DEM",10,34,50.436,1292.94271629174,194.37137141299,1.48335163587136,0.182901144068115,0.000972354174040158,0.00111162328446737,0.0400434579631442,0.0276164065436238
"77","DEM",10,35,51.936,1284.90154171558,194.364328601085,1.47344279136743,0.18197370093664,0.00107908390932322,0.000980325673262637,0.0411553886297174,0.0282588918298559
"78","DEM",10,36,53.436,1291.88064602441,196.932087212419,1.48159036456592,0.184718010392895,0.000950561238496487,0.00090866651916215,0.0425504078620687,0.0323460079281076
"79","DEM",10,37,54.936,1283.940252004,198.791795216045,1.47323543167444,0.194618698568538,0.000959969276072166,0.00125708644352037,0.0419649241033303,0.0326603699450227
"80","DEM",10,38,56.436,1297.56556079904,175.520654754384,1.49427824649028,0.202890814161778,0.0009257450233964,0.00115484551257497,0.04303283745623,0.0336284776410885
"81","DEM",10,39,57.936,1290.64712807044,187.162818845863,1.48297015228447,0.194160999971368,0.00127583048191335,0.00150454222805204,0.0431512829737064,0.0323738181886416
"82","DEM",10,40,59.436,1295.16587615721,185.768264275422,1.4882325848582,0.191543201752073,0.00111090439527962,0.00125802958058641,0.042980406560948,0.0348774709305913
"83","DEM",10,41,60.936,1292.71095153603,188.341701079998,1.48564580481184,0.200236151858828,0.0012385321134543,0.00167237614039285,0.0445275184060451,0.036116241290625
"84","DEM",10,42,62.436,1284.09067883744,179.403665587139,1.4785346186253,0.210199729323193,0.00140661956074376,0.00213905143831216,0.0436199657662952,0.0342654946264407
"85","DEM",20,1,0.944117647058824,877.607365177383,215.777456298191,1,0,0.0226060747370737,0.0234322705846102,0.0315277473430904,0.0521219608251185
"86","DEM",20,2,2.57647058823529,894.815095121008,215.428565815956,1.02150248101052,0.0287892132962415,0.0195821311096896,0.024045238845233,0.0239839908388428,0.0353859115800191
"87","DEM",20,3,4.20882352941176,910.277004494851,223.452096572517,1.03800163026937,0.0365874665792673,0.013426840439161,0.0203882236473215,0.0253835867030338,0.0409001231864474
"88","DEM",20,4,5.84117647058823,927.458425807688,232.044915250146,1.05595613285756,0.0404919783843291,0.00782335921294679,0.0130904917063225,0.0224670464894971,0.0323477494996408
"89","DEM",20,5,7.47352941176471,946.436275037228,234.317146700928,1.07830392386392,0.051887014427738,0.0048502121634937,0.00906902889709086,0.0227315178870233,0.0312612980661685
"90","DEM",20,6,9.10588235294118,975.459475504993,236.517214525273,1.113231440969,0.0561507854250501,0.00370226959509876,0.00716076915063296,0.0246864218430452,0.0368384258634387
"91","DEM",20,7,10.7382352941176,987.712558719904,238.955103864961,1.12709807128807,0.0671307856355717,0.00312645204707564,0.00668333872907072,0.0232456368245927,0.034846318540891
"92","DEM",20,8,12.3705882352941,1014.11371920852,238.199371460384,1.15897554538656,0.0746301600205482,0.00220312779993783,0.00425558703077831,0.0256811432841311,0.0363839283754956
"93","DEM",20,9,14.0029411764706,1037.18909108605,237.323086437633,1.18725095494642,0.0814456737210834,0.00171592256605605,0.00280971377199798,0.0279738766203187,0.0387569829624701
"94","DEM",20,10,15.7117647058824,1044.88785850926,234.330903222782,1.197751778596,0.0827709656119634,0.00131097704856376,0.00212109480499863,0.0303160479030508,0.042049289880874
"95","DEM",20,11,17.3909090909091,1070.27419955195,238.595164055781,1.22913288239096,0.0969269535855134,0.00100060950890311,0.00135595431536138,0.0287269907567414,0.0382176734836534
"96","DEM",20,12,19.0588235294118,1080.75893423521,239.610006549221,1.24006007580959,0.0943319931122096,0.00101551888568642,0.00166455618533097,0.031529324493742,0.0330432788787996
"97","DEM",20,13,20.6911764705882,1094.72093133848,229.273894746323,1.26003792862494,0.106348792131948,0.00107296173752378,0.0017513776621738,0.032937428599862,0.0385044453202193
"98","DEM",20,14,22.3235294117647,1105.07562055843,231.532833016485,1.27197778822778,0.105739515616098,0.000965501898983726,0.00142728649395864,0.0325176569459015,0.0339501556809311
"99","DEM",20,15,23.9558823529412,1111.69739386478,227.607139100501,1.28127222811975,0.11188208555097,0.00129877396524632,0.00208818077357869,0.0324857297703179,0.0345738941801312
"100","DEM",20,16,25.5882352941176,1125.12294919092,231.213466468348,1.29662405599769,0.113182378657525,0.00107012991980755,0.00169559728583016,0.0330852372429206,0.0353724028571322
"101","DEM",20,17,27.2205882352941,1133.78574107718,227.76861432644,1.30817448763435,0.115815096920551,0.00101992364728741,0.00165855495225223,0.0348483101952502,0.0331183802542029
"102","DEM",20,18,28.8529411764706,1134.67845598823,228.376556337438,1.31065238506664,0.133004527640252,0.0012682819371185,0.00190396868987648,0.0357522251042481,0.0326546109193227
"103","DEM",20,19,30.4852941176471,1147.42046225378,231.580902374786,1.32462491747716,0.12874602419457,0.00149158723056826,0.00248960094118614,0.0361546193316631,0.0302314021022262
"104","DEM",20,20,32.1176470588235,1156.07861638141,232.047249712948,1.33552092954597,0.137421549441009,0.00147041487386216,0.00216343140042064,0.0370795277959097,0.0312935536287376
"105","DEM",20,21,33.8617647058824,1157.43773035706,235.703787798236,1.3365013625694,0.139374838691764,0.00123934362672965,0.00156688155924111,0.0377158481936887,0.0333662822435771
"106","DEM",20,22,35.4941176470588,1157.6005545862,225.213548876949,1.34036261104718,0.14935349112748,0.00148912824071034,0.00257070534356913,0.0411926120527886,0.0370858066153794
"107","DEM",20,23,37.1264705882353,1169.63401611729,225.894192051308,1.3555483984781,0.157868675362618,0.00180823136078115,0.00228615156659108,0.0425068059637546,0.0395930736994628
"108","DEM",20,24,38.7588235294118,1172.76335685591,229.875716440672,1.35877118225308,0.161604214194475,0.00169504511517556,0.00230047404863355,0.0451303554385041,0.0401177106901578
"109","DEM",20,25,40.3911764705882,1186.5968754747,229.514571693447,1.37453358425233,0.152049497558138,0.00225987742569629,0.00332279183844252,0.047268612783827,0.0404119403637697
"110","DEM",20,26,42.0235294117647,1187.65950232283,227.336310191672,1.37769397566168,0.165687670178919,0.00194439648009832,0.00307570687387845,0.0478745717694023,0.0400881703158637
"111","DEM",20,27,43.6558823529412,1185.0297029752,226.985038320143,1.37517654262502,0.16977333054592,0.00194104628950921,0.00337476658279881,0.0481642630049132,0.0394678186347989
"112","DEM",20,28,45.2882352941176,1180.94357466906,222.251437470082,1.37138366539854,0.168365795115617,0.0020497629470091,0.00344622004715252,0.0494698480491554,0.0409983422582135
"113","DEM",20,29,46.9205882352941,1187.70068535028,224.651409055535,1.3802142418071,0.180227411859239,0.00233055728463176,0.00393134172111996,0.051403695735401,0.0413673178627532
"114","DEM",20,30,48.069696969697,1205.19922639217,221.010665789644,1.39433405772807,0.177008537336652,0.00239858448873315,0.00435179404496795,0.0522842168871795,0.0437905967525189
"115","DEM",20,31,49.190625,1223.68986530343,208.380100607382,1.39896718592777,0.18850960282895,0.00200258827685169,0.00336609159419287,0.0533334314238481,0.0457703407925018
"116","DEM",20,32,50.8,1229.11352842049,211.715180217113,1.40517811595455,0.193932051405381,0.00196881527201248,0.00371059810285425,0.0553659864244462,0.0453039613262536
"117","DEM",20,33,50.6178571428571,1234.7791165533,208.332162150061,1.42642040674012,0.176041288895842,0.00115479267309806,0.00143669139704859,0.0517212955184345,0.0420701078946864
"118","DEM",20,34,50.436,1247.86514659703,213.733835392641,1.44245684222831,0.173559650102552,0.000959354906557955,0.00102673419500621,0.0478389148019173,0.0322660519183448
"119","DEM",20,35,51.936,1247.96379478203,210.616532722398,1.44416986818677,0.181784743108288,0.000818454921073076,0.000776124820217175,0.0496050798646937,0.035409285951638
"120","DEM",20,36,53.436,1249.3003686963,210.038598261352,1.44646517072473,0.185283170740063,0.00125715726538973,0.00131800542756818,0.0487956341038326,0.0371411938725676
"121","DEM",20,37,54.936,1250.53574574912,210.618611948264,1.44733564045178,0.185315873063456,0.00113085136534658,0.00111531346264438,0.0460104636923058,0.0342757988309622
"122","DEM",20,38,56.436,1251.20121791973,210.824129207197,1.44883988784792,0.192693422215074,0.00160825762107646,0.00190687202256267,0.0492885752169443,0.037508367290353
"123","DEM",20,39,57.936,1251.54019544141,207.973522420718,1.44958331880559,0.188112118391919,0.00134335792097933,0.00162097468815244,0.0517939017239411,0.0391235083952961
"124","DEM",20,40,59.436,1246.608438284,206.502707977596,1.44559406455115,0.20262938506375,0.00136013959582879,0.00165435736874336,0.0498872005971179,0.0398849191834601
"125","DEM",20,41,60.936,1237.24472419212,212.753752746762,1.43405356723779,0.208656009968327,0.00141972382666675,0.00181303565176474,0.0499520326362826,0.0387723334197357
"126","DEM",20,42,62.436,1236.55330540157,221.417025863602,1.42937295356476,0.185815762641175,0.00117310918155144,0.00134881152443358,0.048596766858098,0.0370586384074144
"127","DEM",40,1,0.944117647058824,899.893751487337,193.300967340701,1,0,0.0212526379525696,0.0174826594679737,0.022946486786497,0.0435724752589589
"128","DEM",40,2,2.57647058823529,909.134324331407,189.296493804103,1.01186527638457,0.0270364884270691,0.0141189157352978,0.0134580500455963,0.0146433946706617,0.0212112814063478
"129","DEM",40,3,4.20882352941176,923.523977363041,204.899096552214,1.02515718469302,0.0347287659005912,0.00838788884580072,0.0102454249262135,0.0155560350318836,0.021631256028338
"130","DEM",40,4,5.84117647058823,941.021901310154,208.938682148191,1.04425236757346,0.034394865049295,0.00395890975822828,0.00525114521713775,0.0150234325852374,0.0249569659939925
"131","DEM",40,5,7.47352941176471,963.811174975699,219.066336751858,1.068700286929,0.049454021335252,0.00259984666309897,0.00388826756818642,0.0139550234468798,0.0187627104162037
"132","DEM",40,6,9.10588235294118,988.452642653122,223.694546826707,1.09619008686108,0.0632436794045888,0.00220801506591423,0.00379823894614443,0.0146004891756541,0.0187636958054338
"133","DEM",40,7,10.7382352941176,1001.81298572349,224.375368122633,1.11150576362513,0.0626539947344715,0.0016365674920137,0.00297648928336751,0.0154514207269694,0.0168295293679606
"134","DEM",40,8,12.3705882352941,1023.5818394413,224.227546514403,1.13659828379552,0.0712647153921803,0.00118803653184928,0.00205210256832272,0.023612338971538,0.0353930855631537
"135","DEM",40,9,14.0029411764706,1042.42582785476,227.578213084135,1.15789758987435,0.0710243247790532,0.000962708150339925,0.00148332891315755,0.0223520658864905,0.0309937274739145
"136","DEM",40,10,15.7117647058824,1061.72120449263,231.770761833822,1.17920693510403,0.0691889547179263,0.000681944948304399,0.000896487111397824,0.0240048402241706,0.0320417461016286
